userHours,eocHourly,locTotal,increaseOverCurrent,numCOLAs,numSteps
1,20,1996,148,2,0
2,20,3992,296,2,0
3,20,5988,444,2,0
4,20,7984,592,2,0
5,20,9980,740,2,0
6,20,11976,888,2,0
7,20,13972,1035,2,0
8,20,15968,1183,2,0
9,20,17964,1331,2,0
10,20,19960,1479,2,0
11,20,21956,1627,2,0
12,20,23952,1775,2,0
13,20,25948,1923,2,0
14,20,27944,2071,2,0
15,20,29940,2219,2,0
16,20,31936,2367,2,0
17,20,33932,2515,2,0
18,20,35928,2663,2,0
19,20,37924,2810,2,0
20,21,40960,3998,2,1
21,21,43008,4198,2,1
22,21,45056,4398,2,1
23,21,47104,4598,2,1
24,21,49152,4798,2,1
25,21,51201,4999,2,1
26,21,53249,5199,2,1
27,21,55297,5399,2,1
28,21,57345,5599,2,1
29,21,59393,5799,2,1
30,21,61441,5999,2,1
31,21,63489,6199,2,1
32,21,65537,6398,2,1
33,21,67585,6598,2,1
34,21,69633,6798,2,1
35,21,71681,6998,2,1
36,21,73729,7198,2,1
37,21,75777,7398,2,1
38,21,77825,7598,2,1
39,22,81901,9826,2,2
40,22,84001,10078,2,2
41,22,87151,11380,2,2
42,22,90301,12682,2,2
43,22,93451,13984,2,2
44,22,96601,15285,2,2
45,22,99751,16587,2,2
46,22,102901,17889,2,2
47,22,106051,19191,2,2
48,22,109201,20493,2,2
49,22,112351,21795,2,2
50,22,115501,23097,2,2
51,22,118651,24399,2,2
52,22,121801,25701,2,2
53,22,124951,27003,2,2
54,22,128101,28305,2,2
55,22,131251,29607,2,2
56,22,134401,30909,2,2
57,22,137551,32210,2,2
58,22,140701,33512,2,2
59,22,143851,34814,2,2
60,22,147001,36116,2,2
61,22,150151,37418,2,2
62,22,153301,38720,2,2
63,22,156451,40022,2,2
64,22,159602,41325,2,2
65,22,162752,42627,2,2
66,22,165902,43929,2,2
67,22,169052,45231,2,2
68,22,172202,46533,2,2
69,22,175352,47834,2,2
70,22,178502,49136,2,2
