Salary Range,1,2,3,4,5,6,7,8,9,10,Current Lowest step,New lowest step
5,0,0,0,0,0,0,0,0,2921,3005,9,
6,0,0,0,0,0,0,0,0,2921,3005,9,
7,0,0,0,0,0,0,0,0,3005,3095,9,
8,0,0,0,0,0,0,0,3005,3095,3218,8,10
9,0,0,0,0,0,0,3005,3095,3218,3335,7,9
10,0,0,0,0,0,3005,3095,3218,3335,3483,6,8
11,0,0,0,0,3005,3095,3218,3335,3483,3629,5,7
12,0,0,0,3005,3095,3218,3335,3483,3629,3790,4,6
13,0,0,3005,3095,3218,3335,3483,3629,3790,3964,3,5
14,0,3005,3095,3218,3335,3483,3629,3790,3964,4155,2,4
15,3005,3095,3218,3335,3483,3629,3790,3964,4155,4356,1,3
16,3095,3218,3335,3483,3629,3790,3964,4155,4356,4555,1,2
17,3218,3335,3483,3629,3790,3964,4155,4356,4555,4776,1,2
18,3335,3483,3629,3790,3964,4155,4356,4555,4776,5019,1,2
19,3483,3629,3790,3964,4155,4356,4555,4776,5019,5256,1,2
20,3629,3790,3964,4155,4356,4555,4776,5019,5256,5503,1,2
21,3790,3964,4155,4356,4555,4776,5019,5256,5503,5771,1,2
22,3964,4155,4356,4555,4776,5019,5256,5503,5771,6051,1,1
23,4155,4356,4555,4776,5019,5256,5503,5771,6051,6350,1,1
24,4356,4555,4776,5019,5256,5503,5771,6051,6350,6664,1,1
25,4555,4776,5019,5256,5503,5771,6051,6350,6664,6982,1,1
26,4776,5019,5256,5503,5771,6051,6350,6664,6982,7327,1,1
27,5019,5256,5503,5771,6051,6350,6664,6982,7327,7678,1,1
28,5256,5503,5771,6051,6350,6664,6982,7327,7678,8057,1,1
29,5503,5771,6051,6350,6664,6982,7327,7678,8057,8450,1,1
30,5771,6051,6350,6664,6982,7327,7678,8057,8450,8870,1,1
31,6051,6350,6664,6982,7327,7678,8057,8450,8870,9293,1,1
32,6350,6664,6982,7327,7678,8057,8450,8870,9293,9751,1,1
33,6664,6982,7327,7678,8057,8450,8870,9293,9751,10242,1,1
35,7327,7678,8057,8450,8870,9293,9751,10242,10740,11267,1,1
37,8057,8450,8870,9293,9751,10242,10740,11267,11825,12408,1,1
39,8870,9293,9751,10242,10740,11267,11825,12408,13020,13662,1,1
41,9751,10242,10740,11267,11825,12408,13020,13662,14337,15046,1,1
